object_id,entity_type,parent_id,name,category_code,status,start_dates,end_dates,time_elapsed_months,country_code,state_code,city,region,investment_rounds,invested_companies,funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships
c:37562,Company,,Acucar Guarani,other,closed,1976-01-01,2009-12-11,407.0,BRA,,"Olimpia, SP",Olimpia,0,0,1,45400000.0,,,0,0
c:37568,Company,,Agile Energy,cleantech,operating,2004-01-01,2011-06-09,89.0,USA,CA,San Bruno,SF Bay,0,0,2,26040000.0,,,0,2
c:37573,Company,,CheckPoint HR,enterprise,operating,2001-01-01,2009-12-11,107.0,USA,NJ,Edison,Edison,0,0,1,2500000.0,2008-07-01,2010-08-31,2,13
c:37582,Company,,Mindbloom,web,operating,2008-01-01,2011-09-01,44.0,USA,WA,Seattle,Seattle,0,0,2,3200000.0,2012-01-04,2013-03-27,3,7
c:3759,Company,,Netlog,web,operating,2003-03-18,2007-04-01,48.0,BEL,,,Belgium - Other,0,0,1,6659000.0,2009-01-01,2011-08-12,3,11
c:3760,Company,,vpod.tv,enterprise,operating,2006-05-15,2006-05-19,0.0,FRA,,Paris,Paris,0,0,1,5100000.0,2005-09-01,2008-07-21,4,3
c:37624,Company,,LeanStream Media,software,closed,2009-01-01,2009-12-14,11.0,USA,CO,Westminster,Denver,0,0,1,2340000.0,,,0,3
c:37627,Company,,Palmaz Scientific,medical,operating,2008-01-01,2013-11-26,71.0,USA,CA,Fremont,SF Bay,0,0,3,27113000.0,,,0,5
c:37629,Company,,Contractually,software,operating,2009-06-01,2009-06-01,0.0,CAN,,"Vancouver, BC",Vancouver,0,0,1,46178.0,2013-06-01,2013-06-01,1,4
c:3763,Company,,AudioMicro,games_video,operating,2008-05-24,2011-02-01,32.0,USA,CA,Sherman Oaks,Los Angeles,0,0,2,1250000.0,2011-05-01,2011-11-15,2,7
c:37631,Company,,Zevez Corporation,software,operating,2003-01-01,2012-08-31,116.0,USA,OR,Portland,Portland,0,0,1,1953038.0,,,0,5
c:37633,Company,,Letsgofordinner,hospitality,operating,2007-11-01,2009-09-01,22.0,CAN,,Vancouver,Vancouver,0,0,1,140000.0,2009-03-06,2009-11-01,2,3
c:37635,Company,,Venmo,mobile,acquired,2009-04-04,2011-08-01,28.0,USA,NY,New York,New York,0,0,2,1200000.0,2012-02-01,2013-12-11,2,8
c:37640,Company,,VoiceBox Technologies,software,operating,2001-01-01,2009-12-14,107.0,USA,WA,Bellevue,Seattle,0,0,2,8267208.0,2006-06-01,2006-06-01,1,11
c:37647,Company,,NextIO,hardware,closed,2003-01-01,2012-05-17,112.0,USA,TX,Austin,Austin,0,0,4,49600000.0,2012-01-01,2012-01-01,1,10
c:37649,Company,,Rapid Mobile,,operating,2004-02-01,2008-03-06,49.0,GBR,,Edinburgh,Edinburgh,0,0,2,4183800.0,2004-02-01,2011-04-01,2,3
c:37654,Company,,Social Game Universe,games_video,operating,2009-01-01,2009-12-10,11.0,CAN,,"Toronto, ONT",Toronto,0,0,1,0.0,2009-11-01,2009-11-15,2,5
c:37659,Company,,Boomerang.com,web,operating,2009-02-19,2011-05-23,27.0,USA,IL,Chicago,Chicago,0,0,2,1560000.0,2010-11-22,2012-04-10,4,5
c:37664,Company,,Vendavo,software,operating,2000-01-01,2005-09-07,68.0,USA,CA,Mountain View,SF Bay,0,0,1,15000000.0,,,0,13
c:37665,Company,,Sinocom Pharmaceutical,biotech,operating,1997-01-01,2009-12-15,155.0,HKG,,,Hong Kong - Other,0,0,1,15000000.0,,,0,2
c:37671,Company,,Relume Technologies,manufacturing,acquired,1994-01-01,2012-01-30,217.0,USA,MI,Oxford,Detroit,0,0,2,7000000.0,,,0,1
c:37674,Company,,hetras,software,operating,2007-01-01,2013-04-01,75.0,DEU,,Munich,Munich,0,0,4,8475000.0,2012-05-15,2013-02-11,2,13
c:37676,Company,,D-Wave Systems,semiconductor,operating,1999-01-01,2013-04-09,171.0,CAN,,Burnaby,Burnaby,0,0,6,66223982.0,2013-01-01,2013-01-01,1,21
c:3768,Company,,Publish2,enterprise,operating,2007-01-01,2008-03-01,14.0,,,,unknown,0,0,1,2750000.0,,,0,8
c:37684,Company,,ActivIdentity,enterprise,acquired,1985-01-01,2009-12-29,300.0,USA,CA,Fremont,SF Bay,0,0,1,5422959.0,2010-01-01,2011-01-26,2,9
c:37689,Company,,Allegro Development Corporation,software,operating,1984-01-01,2008-01-31,289.0,USA,TX,Dallas,Dallas,0,0,1,0.0,,,0,30
c:3769,Company,,Cellufun,games_video,operating,2005-01-01,2012-04-06,87.0,USA,NY,New York,New York,0,0,3,5234076.0,2011-08-23,2012-11-16,3,14
c:37690,Company,,NanoGram,nanotech,operating,1996-01-01,2010-01-27,169.0,USA,CA,Milpitas,SF Bay,0,0,3,54700000.0,2005-01-01,2005-01-01,1,4
c:37694,Company,,Netformx,enterprise,operating,1994-01-01,2009-12-14,191.0,USA,CA,Santa Clara,SF Bay,0,0,1,12000000.0,2010-09-30,2010-09-30,1,15
c:37697,Company,,MesoCoat,nanotech,operating,2007-01-01,2009-12-14,35.0,USA,OH,Euclid,Cleveland,0,0,1,0.0,,,0,2
