,object_id,address1,address2,city,zip_code,state_code,country_code,latitude,longitude
124,c:10174,13676 S Eglantina Dr,,Herriman,84096,UT,USA,40.50290800000001,-112.032503
125,c:10175,"340 S. Kellogg, Ste. G",,Goleta,93117,CA,USA,34.433471000000004,-119.82053700000002
126,c:10176,1355 Market St,,San Francisco,94103,CA,USA,37.776246,-122.4179223
127,c:10178,P. O. Box 1414,,Poway,92074,CA,USA,32.981201,-117.062239
128,c:10179,,,San Francisco,94111,CA,USA,37.7983181,-122.4000032
129,c:1018,12220 113th Ave NE,Suite 210,Kirkland,98034,WA,USA,47.710104,-122.190533
130,c:10180,22 battery street,suite 888,san francisco,94111,CA,USA,37.791576,-122.399363
131,c:101810,1700 East,13th Street,Cleavland,44114,OH,USA,0.0,0.0
132,c:101837,,,Charlotte,0,NC,USA,35.2270869,-80.8431267
133,c:101846,,,Denver,0,CO,USA,0.0,0.0
134,c:101851,244 Burnham Intervale Rd,,Contoocook,03229,NH,USA,0.0,0.0
135,c:10188,P.O. Box 644,,Levittown,11756,NY,USA,40.72267,-73.518183
136,c:101880,568 Broadway,,New York,10012,NY,USA,0.0,0.0
137,c:101882,865 Piemonte Drive,Suite 100,Pleasanton,94566,CA,USA,0.0,0.0
138,c:101893,4210 Shawnee Mission Parkway,Suite A400,Fairway,66205,KS,USA,39.028882,-94.634808
139,c:101903,214 Front Street #3A,,New York,10038,NY,USA,0.0,0.0
140,c:101909,1001 Louisiana Street,,Houston,77002,TX,USA,0.0,0.0
141,c:10191,2975 Lone Oak Drive,Suite 100,St. Paul,55121-1553,MN,USA,44.849776,-93.140619
142,c:10192,444 Washington St,Suite 202,Woburn,01801,MA,USA,42.505524,-71.127173
143,c:101938,PO Box 29502 #48119,,Las Vegas,89126,NV,USA,0.0,0.0
144,c:10194,,,New York,0,NY,USA,40.756054,-73.986951
145,c:101944,909 Walnut,Suite 400,Kansas City,64106,MO,USA,0.0,0.0
146,c:101947,645 E State St.,Suite 200,Eagle,83616,ID,USA,0.0,0.0
147,c:101955,5001 Spring Valley Road,Ste 1050,Dallas,75244,TX,USA,0.0,0.0
148,c:10196,P.O Box 37,,Budd Lake,07828,NJ,USA,40.878861,-74.756197
149,c:10197,444 Castro St.,Suite 200,Mountain View,94041,CA,USA,37.390501,-122.081151
150,c:10199,1927 N Milwaukee,,Chicago,60647,IL,USA,41.916619,-87.686634
151,c:1020,"228 Main Street, Suite 4",,Venice,90291,CA,USA,34.011334999999995,-118.468458
152,c:10200,71 Columbia Street,,Seattle,98104,WA,USA,47.6495905,-122.3497956
153,c:102002,,,Burlingame,0,CA,USA,0.0,0.0
154,c:10203,5901 N. Honore Ave,Suite 210,Sarasota,34243,FL,USA,27.339496,-82.452554
155,c:10204,1150 Bayhill Dr. Suite 215,,San Bruno,94066,CA,USA,37.628933,-122.422833
156,c:102044,950 Harrison St #107,,San Francisco,94107,CA,USA,0.0,0.0
