object_id,last_funding_round_type,funding_rounds_count,number_of_participants
c:11852,venture,8,9
c:118573,angel,1,0
c:118591,private-equity,1,0
c:1186,series-a,1,2
c:11860,venture,1,1
c:118605,angel,1,1
c:11868,series-a,1,1
c:1187,series-b,2,3
c:118715,angel,1,1
c:1188,series-a,2,3
c:11881,series-a,2,2
c:11886,series-a,1,0
c:11888,series-b,2,7
c:11889,series-b,4,2
c:1189,series-b,2,3
c:11890,other,1,0
c:11894,series-c+,1,0
c:11899,series-b,2,3
c:1190,venture,3,8
c:11901,series-b,1,2
c:11906,series-b,2,8
c:1191,series-b,3,4
c:11916,venture,1,1
c:11920,series-c+,4,10
c:11921,angel,1,0
c:119291,angel,1,0
c:1193,series-b,2,3
c:11930,series-a,1,1
c:11931,angel,1,2
c:119332,angel,2,5
c:119340,angel,1,0
c:119354,venture,1,2
c:11937,angel,1,0
c:119382,series-c+,1,1
c:1194,series-c+,4,5
c:11941,angel,1,0
c:119487,venture,1,0
c:11950,angel,1,1
c:11955,series-a,1,3
c:1196,series-a,1,1
c:11965,angel,1,0
c:11966,angel,1,1
c:11967,venture,2,4
c:11970,angel,1,0
c:11976,angel,1,0
c:119778,series-c+,2,2
c:1198,angel,2,2
c:11982,venture,9,3
c:11987,other,2,2
c:11989,venture,1,2
c:1199,series-c+,6,18
c:11990,series-a,1,1
c:119900,angel,1,1
c:11997,venture,1,1
c:12,other,8,34
c:12002,series-a,2,4
c:12005,series-a,1,1
c:120057,angel,1,6
c:12007,series-b,3,17
c:120120,angel,1,0
c:12020,series-a,2,1
c:120284,venture,1,0
c:12029,angel,1,0
c:1203,series-b,1,0
c:120319,angel,1,1
c:12034,series-b,2,0
c:12036,series-a,3,3
c:1204,series-c+,3,7
c:1205,venture,3,4
c:12051,venture,2,2
c:12052,series-c+,2,2
c:12056,venture,1,1
c:12061,series-a,1,1
c:12064,series-a,2,0
c:12068,series-c+,4,17
c:120695,venture,1,0
c:12071,other,2,2
c:12074,series-a,1,0
c:12075,series-a,1,1
c:12079,series-a,1,1
c:1209,series-c+,4,14
c:12092,angel,1,1
c:12094,series-a,1,1
c:12099,private-equity,8,19
c:120997,venture,3,7
c:121,series-a,1,4
c:1210,angel,2,0
c:121025,venture,1,0
c:12104,series-a,2,0
c:12109,venture,1,0
c:121146,venture,1,0
c:12117,venture,1,4
c:1212,series-b,4,6
c:1213,series-c+,5,11
c:12131,series-a,4,1
c:12134,venture,1,2
c:1214,venture,2,7
c:12140,angel,1,2
c:121482,series-a,1,1
c:121605,series-b,1,0
c:12167,series-a,3,5
c:121677,angel,1,0
c:12171,series-c+,2,9
c:12173,series-c+,3,6
c:12177,angel,1,1
c:12178,venture,7,10
c:12179,venture,2,3
c:1218,series-a,2,2
c:12180,venture,1,0
c:12188,angel,1,1
c:12190,series-a,1,1
c:12196,series-c+,4,0
c:122,angel,1,0
c:12203,angel,2,0
c:1221,angel,1,1
c:12216,series-a,1,2
c:1222,series-a,4,6
c:122238,series-a,2,12
c:12224,venture,4,1
c:122261,series-a,2,3
c:1223,series-a,1,1
c:12232,series-b,2,8
c:12239,venture,1,1
c:1224,angel,7,11
c:122520,angel,3,1
c:12253,angel,1,0
c:1226,series-b,1,1
c:122626,venture,1,1
c:12263,venture,1,0
c:122638,other,5,2
c:122643,series-a,1,2
c:122652,series-a,1,0
c:122673,venture,3,1
c:122692,series-a,1,2
c:1227,series-a,4,8
c:12272,series-c+,5,24
c:12273,series-c+,3,7
c:12277,angel,1,0
c:12278,angel,1,0
c:12279,series-a,1,2
c:12281,series-c+,3,19
c:12282,series-c+,4,7
c:12283,angel,3,0
c:122830,series-b,2,2
c:12285,series-c+,1,5
c:12287,venture,1,4
c:12289,series-a,1,2
c:1229,angel,1,6
c:123,series-b,2,0
c:12306,venture,4,0
c:12308,series-c+,7,10
c:12315,series-c+,6,26
c:123185,other,2,1
c:12327,angel,1,0
c:12328,venture,1,0
c:12329,angel,1,0
c:12334,angel,1,3
c:123358,venture,1,1
c:123394,other,2,1
c:1234,series-c+,4,12
c:12348,series-b,4,9
c:12349,series-b,3,7
c:123502,angel,2,4
c:12352,other,13,21
c:12356,venture,2,3
c:12357,series-a,2,0
c:123580,series-a,3,8
c:1236,series-b,3,10
c:123604,venture,1,1
c:123614,series-a,2,3
c:12363,venture,2,5
c:1237,angel,1,0
c:12372,series-b,1,2
c:12375,angel,1,0
c:12378,series-a,3,11
c:1239,series-a,1,2
c:12399,angel,1,0
c:1240,angel,1,1
c:12402,venture,1,0
c:124074,series-a,1,2
c:12408,series-c+,3,5
c:1241,series-c+,4,10
c:12412,venture,1,1
c:12416,venture,3,13
c:12422,venture,1,0
c:12423,series-b,2,3
c:12440,venture,1,0
c:12444,angel,1,1
c:124477,angel,3,1
c:1245,series-a,1,2
c:124623,venture,1,0
c:124630,venture,2,2
c:124642,other,3,0
c:12468,series-a,1,5
c:12469,venture,1,2
c:12472,series-b,2,1
c:1249,venture,6,3
c:124938,series-a,2,4
c:125,angel,1,1
c:1250,series-a,2,5
c:12506,series-a,1,1
c:12524,angel,1,0
c:1253,series-a,1,3
c:12538,series-a,1,2
c:1254,series-a,1,0
c:125411,other,1,0
c:12543,series-a,1,2
c:12560,venture,2,2
c:12565,venture,4,5
c:1257,series-a,1,1
c:12572,venture,4,2
c:1258,series-a,2,1
c:12582,series-c+,1,6
c:12584,other,3,5
c:12592,series-a,3,26
c:126,series-c+,4,7
c:1260,series-a,3,3
c:12608,series-c+,4,21
c:1261,series-a,1,1
c:12610,angel,1,0
c:12611,series-a,3,8
c:126117,angel,2,1
c:12617,series-c+,3,6
c:1263,series-a,1,1
c:12630,series-c+,4,8
c:12631,series-a,1,2
c:12653,series-b,2,5
c:12657,series-c+,3,6
c:1266,other,6,11
c:126603,series-a,2,2
c:12666,angel,1,1
c:12667,venture,2,3
c:12681,other,2,2
c:12686,other,1,1
c:12689,venture,1,0
c:12698,series-a,1,0
c:12699,venture,1,2
c:127,angel,1,0
c:12702,series-b,1,1
c:12711,angel,1,0
c:1272,series-a,2,2
c:12723,series-b,2,3
c:127304,venture,2,5
c:12731,private-equity,4,13
c:1274,venture,1,0
c:127455,other,3,2
c:12748,series-a,2,4
c:127547,angel,1,0
c:127645,venture,2,3
c:127649,venture,1,1
c:127663,venture,1,1
c:1278,series-b,2,1
c:12780,venture,1,1
c:12783,angel,1,0
c:12785,series-a,1,0
c:1279,series-c+,4,16
c:12790,angel,1,0
c:127903,angel,1,0
c:127927,angel,1,0
c:128,series-c+,3,11
c:1280,series-b,2,5
c:12801,venture,1,1
c:12805,venture,1,1
c:12807,venture,2,1
c:128125,angel,1,1
c:128139,venture,1,1
c:12815,private-equity,4,12
c:12820,venture,1,0
c:1283,series-b,2,9
c:12830,angel,1,0
c:12831,venture,1,0
c:12834,venture,8,14
c:12836,series-c+,3,1
c:12839,venture,2,2
c:1284,series-a,2,2
c:12840,venture,2,2
c:128427,other,7,7
c:1285,series-c+,4,5
c:12850,venture,2,5
c:12851,angel,1,1
c:128553,angel,1,1
c:1286,series-a,1,2
c:128626,angel,1,0
c:12863,venture,1,1
c:12866,venture,2,6
c:12868,venture,1,1
c:1287,venture,6,7
c:12873,angel,2,3
c:12885,series-c+,3,16
c:12886,angel,1,0
c:12887,series-a,1,10
c:129,series-c+,3,9
c:12900,venture,3,7
c:129008,angel,2,8
c:12903,series-a,1,0
c:12906,venture,6,14
c:1291,series-b,2,4
c:12917,venture,3,5
c:1292,angel,1,2
c:1293,series-c+,1,5
c:12938,angel,1,1
c:12950,series-b,3,3
c:12952,series-c+,1,2
c:12957,series-a,1,1
c:1296,angel,1,2
c:129609,venture,1,1
c:1297,venture,6,7
c:129746,series-b,2,2
c:129759,venture,1,0
c:129784,other,1,0
c:1298,angel,1,3
c:1299,series-b,2,3
c:12996,venture,1,1
c:129989,angel,1,1
c:13,series-b,4,17
c:130,series-c+,3,9
c:1300,angel,1,1
c:13006,series-c+,1,3
c:13007,angel,1,0
c:1301,series-b,2,2
c:13016,series-a,1,2
c:130176,angel,1,3
c:1303,venture,6,8
c:130338,series-a,1,0
c:13037,angel,1,0
c:13039,venture,4,9
c:1304,private-equity,5,9
c:13046,angel,1,4
c:13049,series-a,1,3
c:1305,angel,1,1
c:130503,series-a,1,1
c:13053,angel,1,0
c:130554,series-a,2,1
c:130587,angel,1,1
c:13059,angel,1,0
c:13065,series-a,1,0
c:13078,venture,1,1
c:1308,series-b,4,12
c:13082,series-c+,7,19
c:13084,series-c+,4,8
c:13086,series-b,3,12
c:1309,series-c+,4,5
c:13095,series-b,2,7
c:131,venture,9,15
c:13101,series-b,3,18
c:13102,venture,4,2
c:13103,angel,1,0
c:13117,series-c+,3,6
c:13120,series-a,1,1
c:13122,series-a,1,0
c:13125,angel,1,1
c:13127,series-a,1,1
c:13128,angel,1,0
c:13129,venture,5,17
c:1313,series-b,2,2
c:1314,angel,1,1
c:131487,series-a,1,2
c:13149,angel,2,1
c:1315,angel,1,0
c:131502,private-equity,1,1
c:13153,angel,3,0
c:13154,series-a,2,2
c:131551,venture,4,19
c:13156,angel,1,1
c:131561,venture,1,1
c:131571,other,1,1
c:131583,other,3,3
c:131596,series-c+,2,0
c:1316,private-equity,5,6
c:131618,angel,1,0
