object_id,rounds_total,last_funding_round_type,number_of_participants
c:102922,1.0,angel,5.0
c:10293,,,
c:102933,1.0,angel,1.0
c:102936,,,
c:102941,,,
c:10295,2.0,venture,1.0
c:102952,,,
c:102959,,,
c:10296,,,
c:10298,,,
c:102983,,,
c:10299,,,
c:103,4.0,venture,5.0
c:1030,1.0,angel,1.0
c:10300,,,
c:10301,,,
c:103016,1.0,venture,2.0
c:103029,,,
c:10303,,,
c:103074,,,
c:103079,,,
c:10308,1.0,angel,0.0
c:103084,,,
c:103088,,,
c:10309,,,
c:10310,,,
c:10311,1.0,series-a,0.0
c:103118,,,
c:10312,,,
c:10313,,,
c:10314,,,
c:103145,,,
c:103155,5.0,series-a,11.0
c:10317,,,
c:10318,,,
c:103181,,,
c:10319,,,
c:103200,,,
c:103204,2.0,venture,2.0
c:103209,,,
c:103216,,,
c:10322,,,
c:10323,,,
c:103233,5.0,series-a,13.0
c:103236,,,
c:10324,,,
c:103249,,,
c:10325,,,
c:10326,,,
c:10329,,,
c:103290,,,
c:103291,,,
c:103292,2.0,series-a,3.0
c:10330,,,
c:10331,1.0,other,0.0
c:10332,,,
c:103323,1.0,angel,2.0
c:103324,,,
c:103327,,,
c:10333,,,
c:103334,,,
c:10334,,,
c:103343,,,
c:10335,,,
c:103358,,,
c:10336,,,
c:10337,,,
c:103370,,,
c:10338,,,
c:103388,2.0,series-a,1.0
c:103390,,,
c:10340,,,
c:103400,,,
c:103405,,,
c:10341,,,
c:103414,,,
c:103416,,,
c:10342,,,
c:10343,,,
c:103430,,,
c:103432,,,
c:103433,,,
c:103447,,,
c:10345,,,
c:103458,,,
c:10346,,,
c:10347,,,
c:103470,,,
c:103477,2.0,venture,0.0
c:10348,,,
c:103482,,,
c:103483,,,
c:103486,,,
c:103487,,,
c:103490,,,
c:103499,,,
c:1035,,,
c:103507,,,
c:10351,4.0,venture,1.0
c:10352,,,
c:103522,,,
c:10353,,,
c:10354,,,
c:103545,,,
c:10355,,,
c:103556,,,
c:10356,,,
c:103561,3.0,series-a,9.0
c:103563,,,
c:103566,,,
c:103567,,,
c:10357,,,
c:10359,,,
c:1036,,,
c:10360,2.0,,
c:103608,,,
c:10361,,,
c:10362,,,
c:103620,,,
c:10363,,,
c:103640,,,
c:103641,,,
c:10365,,,
c:10366,,,
c:103677,,,
c:103681,,,
c:103683,,,
c:10369,,,
c:103690,,,
c:103697,1.0,venture,0.0
c:103699,,,
c:10370,,,
c:10371,,,
c:103719,,,
c:10372,,,
c:103725,,,
c:103738,,,
c:103741,,,
c:103743,,,
c:103751,,,
c:10376,4.0,series-c+,8.0
c:103764,,,
c:103767,,,
c:10378,1.0,angel,0.0
c:103787,,,
c:10379,,,
c:103791,3.0,angel,24.0
c:1038,7.0,venture,21.0
c:10380,,,
c:10381,,,
c:103819,,,
c:103820,,,
c:103822,,,
c:103823,,,
c:103824,,,
c:10384,,,
c:10385,,,
c:103853,,,
c:103855,,,
c:103857,,,
c:10386,,,
c:10387,,,
c:10388,,,
c:103885,,,
c:10389,,,
c:103892,,,
c:103898,,,
c:1039,,,
c:103901,,,
c:103903,1.0,angel,0.0
c:103905,,,
c:103910,,,
c:10392,2.0,other,4.0
c:103920,,,
c:103924,,,
c:10393,1.0,angel,0.0
c:103933,,,
c:103935,1.0,angel,1.0
c:103939,,,
c:103948,,,
c:10395,,,
c:103957,,,
c:10396,1.0,venture,1.0
c:103965,,,
c:103973,,,
c:103974,,,
c:10398,2.0,series-b,2.0
c:103980,,,
c:103981,,,
c:103987,,,
c:10399,4.0,other,12.0
c:103994,,,
c:103995,,,
c:103996,,,
c:103997,,,
c:104,,,
c:10400,1.0,angel,0.0
c:104004,,,
c:104010,,,
c:104013,1.0,angel,0.0
c:104015,,,
c:104016,,,
c:10402,1.0,angel,0.0
c:104020,,,
c:10403,,,
c:104032,,,
c:104036,,,
c:10404,,,
c:104045,,,
c:104048,,,
c:10405,,,
c:104057,1.0,angel,0.0
c:104059,,,
c:104062,,,
c:104068,1.0,series-a,0.0
c:10407,1.0,angel,0.0
c:104071,,,
c:104074,,,
c:104078,,,
c:104079,,,
c:10408,,,
c:104081,,,
c:104083,,,
c:104084,,,
c:104086,,,
c:104087,,,
c:10409,,,
c:104090,,,
c:104093,4.0,series-a,13.0
c:1041,,,
c:10410,,,
c:104101,,,
c:104102,,,
c:104103,1.0,angel,0.0
c:104104,,,
c:104118,,,
c:104119,,,
c:10412,,,
c:104121,,,
c:104122,,,
c:104124,,,
c:104126,,,
c:10413,,,
c:104132,1.0,other,0.0
c:104138,1.0,venture,0.0
c:10414,,,
c:104140,,,
c:104141,,,
c:104148,,,
c:10415,,,
c:104151,,,
c:10416,,,
c:104160,1.0,angel,1.0
c:104163,,,
c:104164,,,
c:104166,,,
c:10417,,,
c:104175,,,
c:10418,,,
c:10419,,,
c:104191,,,
c:104192,,,
c:104193,1.0,venture,1.0
c:104194,,,
c:104196,1.0,venture,0.0
c:104198,,,
c:1042,2.0,venture,2.0
c:10420,,,
c:104201,1.0,venture,0.0
c:10421,1.0,series-a,1.0
c:104218,,,
c:10422,,,
c:104220,,,
c:104224,1.0,series-b,1.0
c:10423,,,
c:10424,3.0,series-b,8.0
c:10425,,,
c:104253,,,
c:10426,,,
c:104263,,,
c:104268,,,
c:10427,1.0,series-a,0.0
c:10428,,,
c:104280,,,
c:104287,,,
c:1043,3.0,venture,8.0
c:10430,1.0,venture,3.0
c:104300,,,
c:104303,1.0,angel,1.0
c:104304,,,
c:104305,1.0,venture,1.0
c:104306,,,
c:10431,,,
c:104311,,,
c:104321,1.0,venture,0.0
c:104335,,,
c:104339,,,
c:10434,,,
c:104347,,,
c:104348,,,
c:10435,,,
c:10436,1.0,angel,0.0
c:104361,,,
c:104363,,,
c:104369,,,
c:10437,,,
c:104377,8.0,venture,20.0
c:104382,,,
c:10439,,,
c:104391,,,
c:104393,2.0,series-b,3.0
c:104398,1.0,,
c:104399,,,
c:10440,,,
c:104406,,,
c:104407,,,
c:104408,,,
c:10441,,,
c:104410,,,
c:104412,,,
c:104413,1.0,angel,1.0
c:104415,,,
c:10442,,,
c:104420,,,
c:104428,,,
c:104429,,,
c:10443,,,
c:104430,,,
c:104431,,,
c:104436,,,
c:10444,,,
c:104446,,,
c:104450,,,
c:104452,1.0,angel,0.0
c:104460,,,
c:104466,,,
c:104467,,,
c:10447,,,
c:104472,,,
c:104473,,,
c:104474,,,
c:10448,,,
c:104481,,,
c:104483,,,
c:104484,,,
c:104488,,,
c:10449,,,
c:104492,,,
c:104494,,,
c:1045,,,
c:10450,,,
c:104505,,,
c:10451,,,
c:104517,,,
c:10452,2.0,venture,3.0
c:10453,,,
c:104538,1.0,angel,0.0
c:10454,,,
c:104543,,,
c:104545,,,
c:104546,1.0,venture,1.0
c:104547,,,
c:104549,,,
c:10455,1.0,,
c:104556,,,
c:104557,1.0,angel,2.0
c:104558,,,
c:10456,,,
c:104563,,,
c:104568,1.0,angel,1.0
c:10458,,,
c:104582,,,
c:104585,,,
c:104587,1.0,venture,4.0
c:104591,,,
c:104594,1.0,venture,0.0
c:104595,,,
c:104596,,,
c:104598,2.0,angel,3.0
c:1046,,,
c:10460,,,
c:104601,1.0,series-c+,4.0
c:104603,1.0,venture,3.0
c:104607,2.0,venture,2.0
c:104608,,,
c:104610,1.0,series-a,0.0
c:104617,,,
c:104618,,,
c:104619,,,
c:10462,,,
c:104624,,,
c:104628,,,
c:10463,,,
c:104630,,,
c:104631,,,
c:104632,,,
c:104633,,,
c:104634,,,
c:104636,1.0,angel,7.0
c:104638,,,
c:104642,,,
c:104647,,,
c:10465,,,
c:104650,,,
c:104655,,,
c:104656,,,
c:10466,,,
c:104667,,,
c:10467,,,
c:10468,,,
c:104689,,,
c:10469,,,
c:1047,1.0,angel,0.0
c:10470,,,
c:10471,,,
c:104710,,,
c:104711,,,
c:10472,,,
c:104725,,,
c:10473,,,
c:104730,,,
c:104731,,,
c:104739,1.0,venture,0.0
c:104749,,,
c:10475,3.0,other,0.0
c:104751,,,
c:104753,1.0,angel,0.0
c:104756,,,
c:104757,,,
c:10476,4.0,,
c:104760,,,
c:104761,,,
c:104763,,,
c:104764,,,
c:10477,,,
c:10478,,,
c:104781,,,
c:104783,,,
c:104785,,,
c:104788,1.0,series-a,4.0
c:104789,,,
c:10479,,,
c:1048,1.0,series-a,1.0
c:10480,2.0,series-b,6.0
c:104809,,,
c:10481,,,
c:104810,,,
c:104813,,,
c:104815,1.0,series-a,2.0
c:104817,,,
c:104818,,,
c:104819,,,
c:10482,,,
c:104824,,,
c:104828,,,
c:10483,,,
c:104832,,,
c:104836,1.0,,
c:104837,1.0,angel,1.0
c:104839,,,
c:10484,,,
c:104841,,,
c:104844,,,
c:104846,,,
c:104848,,,
c:10485,2.0,,
c:104852,,,
c:104853,,,
c:10486,,,
c:104861,3.0,series-a,0.0
c:104862,,,
c:104873,,,
c:10488,,,
c:104881,,,
c:104883,,,
c:104884,,,
c:104886,,,
c:10489,,,
c:104890,,,
c:104896,,,
c:1049,1.0,angel,0.0
c:10490,,,
c:104908,1.0,venture,5.0
c:10491,,,
c:104923,,,
c:104924,,,
c:104925,,,
c:104926,,,
c:104927,,,
c:104928,,,
c:10493,,,
c:10494,,,
c:104941,,,
c:104942,,,
c:104947,1.0,series-a,2.0
c:104953,,,
c:10496,,,
c:104962,1.0,,
c:10497,,,
c:104971,3.0,series-a,4.0
c:104980,3.0,angel,3.0
c:104981,1.0,angel,1.0
c:104983,1.0,angel,1.0
c:104984,1.0,angel,1.0
c:104988,,,
c:104989,,,
c:10499,,,
c:104992,,,
c:104997,,,
c:105,2.0,series-b,11.0
c:10500,,,
c:105002,5.0,angel,1.0
c:105003,,,
c:105004,,,
c:105005,1.0,angel,1.0
c:105007,,,
c:105008,2.0,venture,3.0
c:10502,,,
c:105041,,,
c:105048,,,
c:105049,,,
c:105050,,,
c:105055,,,
c:105057,,,
c:105059,,,
c:105065,,,
c:105066,,,
c:105067,,,
c:10507,,,
c:105074,,,
c:105075,1.0,venture,2.0
c:105077,,,
c:10508,,,
c:105087,,,
c:10509,,,
c:105095,,,
c:105096,,,
c:105097,,,
c:1051,3.0,venture,3.0
c:10510,,,
c:105106,,,
c:10511,1.0,venture,1.0
c:10512,6.0,venture,20.0
c:105120,,,
c:105125,,,
c:105126,,,
c:10513,,,
c:105130,,,
c:105131,,,
c:105132,,,
c:105139,,,
c:10514,,,
c:105140,,,
c:105141,,,
c:105142,,,
c:105159,,,
c:105161,,,
c:105167,,,
c:105168,3.0,series-a,2.0
c:105174,1.0,series-a,1.0
c:105184,,,
c:105185,,,
c:105186,,,
c:10519,,,
c:105192,,,
c:105193,,,
c:105194,,,
c:105196,,,
c:10520,,,
c:105201,,,
c:105202,,,
c:105203,,,
c:105205,,,
c:10521,1.0,angel,0.0
c:105210,,,
c:105213,,,
c:105215,,,
c:105217,1.0,angel,1.0
c:105218,,,
c:10522,,,
c:105221,,,
c:105222,,,
c:10523,,,
c:105231,,,
c:105243,1.0,angel,4.0
c:105244,,,
c:105247,,,
c:105248,,,
c:10525,,,
c:10526,2.0,series-c+,7.0
c:105263,,,
c:105264,,,
c:105265,,,
c:105266,,,
c:105267,,,
c:10527,4.0,series-c+,1.0
c:105272,,,
c:105286,,,
c:10529,1.0,angel,1.0
c:105290,,,
c:105292,,,
c:105293,,,
c:105297,,,
c:105298,,,
c:105299,,,
c:1053,3.0,series-b,5.0
c:105305,2.0,other,4.0
c:105315,1.0,venture,2.0
c:105318,,,
c:105319,1.0,,
c:105320,,,
c:105325,,,
c:105326,,,
c:10533,1.0,angel,2.0
c:105332,,,
c:105333,,,
c:105334,,,
c:105339,,,
c:105346,,,
c:105348,,,
c:10535,,,
c:105350,,,
c:105351,,,
c:105362,,,
c:105367,,,
c:105371,,,
c:105385,,,
c:105386,1.0,venture,0.0
c:105394,,,
c:105398,,,
c:105399,,,
c:1054,3.0,other,1.0
c:10540,,,
c:105401,,,
c:105408,,,
c:10541,,,
c:105413,,,
c:105414,2.0,series-b,1.0
c:105418,,,
c:10542,1.0,series-a,1.0
c:105424,,,
c:105426,2.0,angel,0.0
c:10543,,,
c:105433,,,
c:10544,6.0,venture,18.0
c:105446,,,
c:105447,,,
c:10545,,,
c:105451,,,
c:105453,,,
c:105454,,,
c:105456,,,
c:105459,,,
c:10546,,,
c:105460,,,
c:105461,,,
c:105467,1.0,angel,3.0
c:105468,,,
c:10547,,,
c:105479,,,
c:10548,,,
c:105480,,,
c:105485,,,
c:105486,,,
c:105487,,,
c:10549,,,
c:105490,,,
c:105491,,,
c:105493,,,
c:105494,,,
c:105495,,,
c:105499,2.0,series-b,3.0
c:10550,1.0,series-a,0.0
c:105504,2.0,venture,0.0
c:105505,,,
c:105513,,,
c:105514,,,
c:105515,,,
c:105519,1.0,angel,4.0
c:10552,,,
c:10553,,,
c:10554,,,
c:105543,,,
c:105544,,,
c:105546,,,
c:10555,,,
c:105554,,,
c:105556,,,
c:10556,,,
c:105567,,,
c:105579,,,
c:10558,,,
c:105587,1.0,venture,1.0
c:105592,1.0,venture,1.0
c:1056,3.0,series-c+,10.0
c:10560,2.0,private-equity,5.0
c:105605,,,
c:105606,,,
c:10561,,,
c:105611,,,
c:105616,,,
c:105629,,,
c:10563,1.0,,
c:10564,,,
c:105642,1.0,angel,1.0
c:105654,,,
c:105655,,,
c:105656,1.0,angel,0.0
c:10566,3.0,series-b,6.0
c:10567,,,
c:10568,,,
c:105684,,,
c:105687,3.0,venture,1.0
c:10569,3.0,venture,5.0
c:105693,,,
c:105694,,,
c:105697,,,
c:105699,1.0,series-a,12.0
c:10570,4.0,series-b,10.0
c:105702,,,
c:105704,2.0,series-b,0.0
c:105707,1.0,angel,0.0
c:10571,,,
c:105710,,,
c:105717,1.0,series-a,1.0
c:105719,,,
c:10572,,,
c:105720,,,
c:105721,,,
c:105723,,,
c:105724,,,
c:10573,,,
c:10574,2.0,venture,2.0
c:105756,,,
c:105769,,,
c:10577,,,
c:105775,,,
c:10578,,,
c:105784,,,
c:105786,,,
c:105789,,,
c:10579,,,
c:105795,,,
c:105797,,,
c:10580,1.0,series-a,2.0
c:10581,1.0,series-a,3.0
c:105810,,,
c:10582,,,
c:10583,3.0,series-b,3.0
c:105833,,,
c:105834,1.0,angel,1.0
c:105838,,,
c:10584,,,
c:105842,,,
c:105860,,,
c:105862,,,
c:105863,,,
c:105864,,,
c:10587,,,
c:10588,,,
c:105885,,,
c:105886,,,
c:105891,,,
c:105893,1.0,angel,0.0
c:1059,,,
c:105909,,,
c:10591,,,
c:10592,,,
c:105926,,,
c:105927,1.0,venture,1.0
c:105933,,,
c:105934,,,
c:105936,,,
c:10594,,,
c:10595,,,
c:105951,,,
c:105953,,,
c:105954,,,
c:105963,,,
c:105977,,,
c:10598,,,
c:105990,,,
c:105991,,,
c:106,5.0,series-b,5.0
c:1060,,,
c:106009,,,
c:10602,,,
c:10603,,,
c:106038,,,
c:10604,,,
c:106047,,,
c:106054,,,
c:106055,,,
c:106058,,,
c:106062,,,
c:106079,3.0,private-equity,3.0
c:10608,1.0,angel,0.0
c:106085,,,
c:106086,,,
c:106098,,,
c:1061,,,
c:10610,3.0,venture,6.0
c:106109,,,
c:10611,,,
c:10612,,,
c:106122,,,
c:106123,1.0,angel,3.0
c:10613,,,
c:10614,1.0,venture,5.0
c:106149,,,
c:10615,,,
c:106156,1.0,,
c:10616,1.0,series-c+,2.0
c:106165,,,
c:10617,,,
c:106179,,,
c:106184,,,
c:10619,,,
c:106194,,,
c:1062,6.0,series-c+,19.0
c:10620,,,
c:106205,,,
c:106206,,,
c:10621,1.0,series-a,1.0
c:106222,1.0,angel,1.0
c:10623,1.0,venture,0.0
c:10624,,,
c:106243,,,
c:10625,,,
c:106262,,,
c:106279,,,
c:10628,,,
c:10629,,,
c:106291,,,
c:106299,,,
c:1063,8.0,venture,28.0
c:10630,,,
c:106303,,,
c:106304,1.0,series-a,1.0
c:106306,,,
c:10631,,,
c:10632,,,
c:106325,1.0,angel,0.0
c:10633,,,
c:106335,1.0,venture,0.0
c:10634,,,
c:106341,,,
c:106344,,,
c:106347,,,
c:106349,1.0,angel,0.0
c:10635,,,
c:106357,,,
c:10636,,,
c:10637,,,
c:106371,,,
c:106377,,,
c:10638,,,
c:10639,,,
c:106396,2.0,angel,5.0
c:1064,,,
c:10640,,,
c:10641,,,
c:106414,,,
c:106419,,,
c:10642,,,
c:10643,1.0,series-b,0.0
c:106435,,,
c:106437,,,
c:10644,,,
c:10645,,,
c:106454,,,
c:10646,,,
c:10647,,,
c:10648,,,
c:10649,1.0,angel,0.0
c:106490,,,
c:10650,,,
c:10651,,,
c:10652,2.0,angel,2.0
c:106523,,,
c:10653,,,
c:10654,,,
c:10655,,,
c:10656,,,
c:106567,,,
c:10657,,,
c:10658,,,
c:10659,,,
c:106599,,,
c:1066,3.0,,
c:106601,3.0,series-a,2.0
c:10662,,,
c:10663,,,
c:10664,,,
c:10665,,,
c:10666,,,
c:106661,1.0,,
c:10667,1.0,angel,0.0
c:10668,1.0,angel,0.0
c:10669,1.0,angel,0.0
c:106698,,,
c:1067,4.0,venture,8.0
c:10670,,,
c:106707,1.0,venture,1.0
c:10671,,,
c:106712,,,
c:10672,1.0,,
c:106720,,,
c:10673,,,
c:10674,,,
c:106740,,,
c:10675,,,
c:10676,,,
c:10677,1.0,series-b,2.0
c:106775,1.0,angel,2.0
c:106778,,,
c:10678,,,
c:106788,,,
c:10679,,,
c:1068,1.0,series-a,1.0
c:10680,,,
c:10681,,,
c:10682,,,
c:10683,1.0,,
c:106834,,,
c:10684,1.0,angel,1.0
c:106845,,,
c:10686,,,
c:10687,,,
c:10688,,,
c:10689,,,
c:106892,,,
c:106895,,,
c:1069,2.0,series-b,3.0
c:10690,,,
c:106907,,,
c:10692,,,
c:10693,,,
c:106933,,,
c:106939,,,
c:10695,,,
c:10696,,,
c:10697,,,
c:106974,,,
c:106979,,,
c:10699,,,
c:106995,,,
c:106997,,,
c:107,4.0,series-c+,14.0
c:1070,2.0,series-c+,5.0
c:10700,1.0,angel,0.0
